,Date,Open,High,Low,Close,Adj Close,Volume
81,2020-12-09,125.08,125.27,124.6759,124.9,124.9,40920354
82,2020-12-09,124.779,125.4542,124.6241,125.38,125.38,32446533
83,2020-12-09,124.38,125.9099,123.91,125.9099,125.9099,17980687
84,2020-12-08,124.875,124.875,124.335,124.4242,124.4242,70371481
85,2020-12-08,124.5493,124.95,124.5,124.9298,124.9298,59611372
86,2020-12-08,124.51,124.8498,124.4869,124.76,124.76,51014871
87,2020-12-08,123.865,124.4,123.865,124.2708,124.2708,41510633
88,2020-12-08,123.81,123.885,123.81,123.865,123.865,34287999
89,2020-12-08,123.2901,123.445,123.2258,123.32,123.32,26892062
90,2020-12-08,123.74,124.14,123.495,123.8417,123.8417,14246427
91,2020-12-07,123.995,123.995,123.33,123.79,123.79,72193470
92,2020-12-07,124.1453,124.1453,123.975,123.995,123.995,61965098
93,2020-12-07,123.6575,123.9416,123.46,123.89,123.89,55414021
94,2020-12-07,124.15,124.25,124.075,124.0841,124.0841,47500540
95,2020-12-07,124.275,124.3502,123.98,124.095,124.095,40507848
96,2020-12-07,123.97,124.29,123.725,124.0215,124.0215,32244143
97,2020-12-07,122.25,124.5,122.25,124.49,124.49,17756614
98,2020-12-04,122.185,122.295,122.15,122.15,122.15,64653350
99,2020-12-04,121.965,122.17,121.96,122.06,122.06,53485555
100,2020-12-04,122.045,122.06,121.82,121.835,121.835,46920173
101,2020-12-04,121.94,122.175,121.85,122.175,122.175,42097666
102,2020-12-04,121.961,122.65,121.8607,122.37,122.37,35147195
103,2020-12-04,121.995,122.17,121.54,121.7643,121.7643,24499983
104,2020-12-04,122.94,122.94,121.56,122.005,122.005,12936146
105,2020-12-03,123.175,123.3208,122.56,122.72,122.72,67118923
106,2020-12-03,122.8,123.045,122.76,123.005,123.005,54175821
107,2020-12-03,122.95,123.01,122.613,122.665,122.665,47864959
108,2020-12-03,123.105,123.19,122.7885,122.8888,122.8888,42380097
109,2020-12-03,122.945,123.18,122.93,123.105,123.105,35775233
110,2020-12-03,123.07,123.07,122.63,122.6588,122.6588,26493193
111,2020-12-03,123.65899999999999,123.65899999999999,122.75,123.17,123.17,12961481
112,2020-12-02,123.105,123.17,123.04,123.04,123.04,75763670
113,2020-12-02,122.83,122.97,122.81,122.9301,122.9301,64102182
114,2020-12-02,123.035,123.19,122.7156,122.9539,122.9539,56597936
115,2020-12-02,122.745,123.13,122.62,122.8996,122.8996,48331884
116,2020-12-02,121.985,122.81,121.975,122.55,122.55,39345957
117,2020-12-02,122.045,122.4994,121.5601,121.97,121.97,30447493
118,2020-12-02,122.72,122.72,120.97,121.99,121.99,17566422
119,2020-12-01,122.505,122.915,122.13,122.65,122.65,114910468
120,2020-12-01,122.745,123.2,122.64,122.705,122.705,97750554
121,2020-12-01,122.635,123.275,122.6201,122.7682,122.7682,87978963
122,2020-12-01,122.915,122.9701,122.635,122.635,122.635,79184624
123,2020-12-01,122.88,123.2108,122.8756,123.1,123.1,66781682
124,2020-12-01,122.15,122.51,121.6781,122.39,122.39,48995123
125,2020-12-01,119.05,122.57,119.05,122.4,122.4,24758368
126,2020-11-30,120.42,120.6,119.22,119.51,119.51,129647292
127,2020-11-30,120.2,120.81,120.18,120.59,120.59,101718557
128,2020-11-30,118.96,119.75,118.9508,119.745,119.745,80614500
129,2020-11-30,118.79,119.1,118.69,119.06,119.06,68620001
130,2020-11-30,118.165,119.0,117.52,118.91,118.91,58924799
131,2020-11-30,118.05,118.165,118.05,118.165,118.165,44780578
132,2020-11-30,118.955,119.2,118.81,118.84100000000001,118.84100000000001,21715322
133,2020-11-27,116.59,116.59,116.59,116.59,116.59,45263139
134,2020-11-27,116.59,116.59,116.59,116.59,116.59,45263139
135,2020-11-27,116.59,116.59,116.59,116.59,116.59,45263139
136,2020-11-27,116.72,116.735,116.225,116.5793,116.5793,42997990
137,2020-11-27,117.022,117.1607,116.6799,116.85,116.85,32856405
138,2020-11-27,116.99,117.475,116.695,117.07,117.07,24225137
139,2020-11-27,117.05,117.08,116.84,116.99,116.99,11640048
140,2020-11-25,116.2073,116.45,115.97,116.005,116.005,68322278
141,2020-11-25,115.76,116.13,115.74,116.09,116.09,57462176
142,2020-11-25,116.25,116.3256,115.88799999999999,116.005,116.005,51363049
143,2020-11-25,116.015,116.325,115.7101,116.2,116.2,46086010
144,2020-11-25,116.0008,116.1038,115.91,116.015,116.015,39653709
145,2020-11-25,116.15,116.51,116.1143,116.49,116.49,29488927
146,2020-11-25,115.72,116.575,115.22,116.32,116.32,16446943
147,2020-11-24,115.2,115.2,114.98,115.14,115.14,103550629
148,2020-11-24,115.105,115.36,115.0199,115.36,115.36,89210319
149,2020-11-24,115.1508,115.66,115.1319,115.66,115.66,78657000
150,2020-11-24,114.56,114.99,114.5204,114.86,114.86,67981523
151,2020-11-24,114.685,115.3599,114.6801,114.8199,114.8199,58689767
152,2020-11-24,113.4501,114.835,113.36,114.835,114.835,42886364
153,2020-11-24,113.85,114.01,112.63,113.065,113.065,22807151
154,2020-11-23,114.064,114.165,113.76,113.83,113.83,117390920
155,2020-11-23,114.6,114.66,114.02,114.17,114.17,95783299
156,2020-11-23,115.17,115.265,114.6,114.66,114.66,80957065
157,2020-11-23,114.55,115.32,114.28,115.295,115.295,71393273
158,2020-11-23,114.5613,114.7289,114.535,114.55,114.55,59369524
159,2020-11-23,115.44,115.6999,115.31,115.51,115.51,36934360
160,2020-11-23,117.16,117.6,116.775,116.895,116.895,15489324
161,2020-11-20,117.635,117.85,117.3298,117.3298,117.3298,63726731
162,2020-11-20,117.96,118.085,117.72,117.8716,117.8716,50049397
163,2020-11-20,118.2,118.2,117.9093,117.97,117.97,43705747
164,2020-11-20,117.965,118.295,117.905,118.295,118.295,38241781
165,2020-11-20,117.98,118.025,117.9309,117.965,117.965,31788928
166,2020-11-20,118.5,118.63,118.45,118.49,118.49,21737120
167,2020-11-20,118.21,118.31,117.87,118.11,118.11,12847198
168,2020-11-19,118.71,118.75,118.71,118.75,118.75,66921830
169,2020-11-19,118.42,118.6801,118.36,118.64,118.64,56148813
170,2020-11-19,117.92,118.1384,117.9,118.115,118.115,48929649
171,2020-11-19,117.815,117.97,117.59,117.7108,117.7108,42637315
172,2020-11-19,117.97399999999999,118.36,117.95,118.1502,118.1502,34413727
173,2020-11-19,117.695,118.2858,117.5303,117.8184,117.8184,26666996
174,2020-11-19,118.03,118.0998,116.87,117.935,117.935,15736235
175,2020-11-18,119.419,119.4256,118.15,118.15,118.15,65730659
176,2020-11-18,118.99,119.32,118.81,119.32,119.32,51857595
177,2020-11-18,119.62,119.62,119.1399,119.29,119.29,44898431
178,2020-11-18,119.71,119.79,119.47,119.5293,119.5293,38853301
179,2020-11-18,119.465,119.56,119.0801,119.47,119.47,32453898
180,2020-11-18,119.315,119.4832,119.285,119.465,119.465,25410521
181,2020-11-18,119.08,119.33,118.5801,118.65,118.65,14398283
182,2020-11-17,120.0057,120.1301,119.37,119.37,119.37,65770374
183,2020-11-17,119.98299999999999,120.0057,119.98299999999999,120.0057,120.0057,53376694
184,2020-11-17,120.355,120.43700000000001,120.31,120.35,120.35,46747523
185,2020-11-17,120.36,120.485,120.28,120.47,120.47,40861731
186,2020-11-17,119.91,120.155,119.6808,120.155,120.155,34329302
187,2020-11-17,119.6,120.5,119.6,120.4,120.4,25028891
188,2020-11-17,120.3,120.3,119.005,119.1115,119.1115,12936401
189,2020-11-16,119.9889,120.17,119.74,120.13,120.13,81166957
190,2020-11-16,120.3001,120.335,119.81,119.8999,119.8999,67803883
191,2020-11-16,120.485,120.5793,120.0103,120.205,120.205,60324420
192,2020-11-16,120.8431,120.8731,120.28,120.41,120.41,52259960
193,2020-11-16,120.65,120.82,120.315,120.7398,120.7398,43851334
194,2020-11-16,120.6523,120.6523,120.6324,120.65,120.65,34553449
195,2020-11-16,119.86,119.9908,119.45,119.891,119.891,17208368
196,2020-11-13,118.9401,119.5601,118.83,119.3493,119.3493,73886252
197,2020-11-13,118.695,118.8899,118.205,118.885,118.885,58545638
198,2020-11-13,118.9466,119.225,118.5,118.57,118.57,51025438
199,2020-11-13,118.9493,118.9493,118.82,118.9466,118.9466,43274698
